session_id,station_id,month,day,gap_energy_kwh,median_gap_kw
2_39_79_382_2020-06-08 16:47:28.606245,2-39-79-382,2020-06,2020-06-08,0.12445354166666667,1.2687000000000002
2_39_79_382_2020-06-08 16:47:28.606245,2-39-79-382,2020-06,2020-06-08,0.12609402777777776,1.2696458333333334
2_39_79_382_2020-06-08 16:47:28.606245,2-39-79-382,2020-06,2020-06-08,0.10589076388888888,1.270833333333333
2_39_79_382_2020-06-08 16:47:28.606245,2-39-79-382,2020-06,2020-06-08,0.18903229166666666,1.2743333333333333
2_39_79_382_2020-06-08 16:47:28.606245,2-39-79-382,2020-06,2020-06-08,0.1284848611111111,1.2872645833333334
2_39_79_382_2020-06-09 16:24:21.244900,2-39-79-382,2020-06,2020-06-09,0.550777001633987,1.2244666666666668
2_39_79_382_2020-06-09 16:24:21.244900,2-39-79-382,2020-06,2020-06-09,0.1641434259259259,1.2315666666666667
2_39_79_382_2020-06-09 16:24:21.244900,2-39-79-382,2020-06,2020-06-09,0.1635962295751634,1.2274104166666666
2_39_79_382_2020-06-09 16:24:21.244900,2-39-79-382,2020-06,2020-06-09,0.10796078431372547,1.2074666666666665
2_39_79_382_2020-06-09 16:24:21.244900,2-39-79-382,2020-06,2020-06-09,0.781156299019608,1.2134166666666666
2_39_89_25_2020-06-26 17:29:38.394628,2-39-89-25,2020-06,2020-06-26,0.7820320629084968,4.1340666666666674
